XMID,DBA,Status,Sales Rep,Portfolio,Date Added,Date Approved,Date Assigned,Date Created,Date Submitted,Date Closed,VIPStatus
554402050040682,THE GRANDE PAWLACE,Approved,ANTHONY  PEPPER,ANTHONY PEPPER,7/20/2022 5:04:26 PM,7/21/2022 7:15:16 AM,,7/20/2022 5:04:26 PM,7/20/2022 5:53:45 PM,,
56310000007927,Ohhh My Graphix,Approved,Tom Johnson,Tom Johnson,7/20/2022 5:01:02 PM,7/21/2022 8:22:40 AM,,7/20/2022 5:01:02 PM,7/20/2022 5:04:19 PM,,
,Dazzling Thin,Received,Ella Smith,"HRSS - Adept Payments, Inc",7/20/2022 4:58:15 PM,,,7/20/2022 4:58:15 PM,7/20/2022 5:19:07 PM,,
8739297540300573,Legendary Auto Glass and Mirror LLC,Approved,Jeannie Moreno,Convenient Payments LLC,7/20/2022 4:48:11 PM,7/20/2022 5:15:47 PM,,7/20/2022 4:48:11 PM,7/20/2022 5:08:51 PM,,
8739295300300099,CROSSFIT BLUR,Approved,Erik Verryden,NPS House,7/20/2022 4:32:36 PM,7/21/2022 2:00:04 PM,,7/20/2022 4:32:36 PM,7/20/2022 4:42:00 PM,,
56310000007941,Steel N' Magnolia Salon/Deborah,Approved,Tom Johnson,Tom Johnson,7/20/2022 4:28:11 PM,7/22/2022 8:37:37 AM,,7/20/2022 4:28:11 PM,7/20/2022 4:33:17 PM,,
554402050040765,AMERICAN SUN BUSTERS,Approved,Robby Richardson,Robby Richardson,7/20/2022 4:23:04 PM,7/21/2022 12:36:51 PM,,7/20/2022 4:23:04 PM,7/20/2022 4:43:26 PM,,
8739299330302342,GIGI'S ON THE RIVER,Approved,Jack Streeter,Jack Streeter2,7/20/2022 4:22:47 PM,7/21/2022 1:57:54 AM,,7/20/2022 4:22:47 PM,7/20/2022 4:34:24 PM,,
,All Pro Towing & AM-PM Towing,Pending,Josh Dempsey,Enhanced Payment Systems LLC,7/20/2022 4:16:02 PM,,,7/20/2022 4:16:02 PM,7/20/2022 4:27:09 PM,,
8739261000303040,The Pizza Professor,Approved,Rich Giaccio,"ACCPC - RG National Business Services, inc.",7/20/2022 4:15:37 PM,7/21/2022 2:31:48 AM,,7/20/2022 4:15:37 PM,7/20/2022 4:59:47 PM,,
,Reego Cream,Received,Mick Maimes,GLP,7/20/2022 4:10:49 PM,,,7/20/2022 4:10:49 PM,7/21/2022 2:20:19 PM,,
,Asta Parking,Draft,Chad Tiedt,SimpliPay LLC,7/20/2022 4:07:03 PM,,,7/20/2022 4:07:03 PM,,,
56310000007926,Steel N'Magnolia Salon,Approved,Tom Johnson,Tom Johnson,7/20/2022 4:00:26 PM,7/21/2022 7:26:35 AM,,7/20/2022 4:00:26 PM,7/20/2022 4:08:56 PM,,
,Protax Software LLC,Pending,Roberto Rivera,ROBERTO RIVERA PORTFOLIO,7/20/2022 3:46:25 PM,,,7/20/2022 3:46:25 PM,7/20/2022 3:46:25 PM,,
8739299330302344,ASIA'S TIRE SERVICE,Approved,JESSIE  COMPTON ,JESSIE COMPTON,7/20/2022 3:41:19 PM,7/21/2022 5:44:43 AM,,7/20/2022 3:41:19 PM,7/20/2022 4:47:55 PM,,
554402000694216,Buggy Bath Car Wash,Approved,Unitec DRB New,PPS_WASH_DRB,7/20/2022 3:40:44 PM,7/20/2022 3:46:06 PM,,7/20/2022 3:40:44 PM,7/20/2022 3:40:47 PM,,
554402050040674,RAULS THE ORIGINAL BURRITO EXPRESS,Approved,Lisa Filichia,Lisa Filichia,7/20/2022 3:30:28 PM,7/21/2022 3:17:17 AM,,7/20/2022 3:30:28 PM,7/20/2022 4:04:21 PM,,
,Fit Muscles Store,Received,Taylor Hibbeler,HRSS - Conexus (Trinity),7/20/2022 3:25:04 PM,,,7/20/2022 3:25:04 PM,7/20/2022 3:38:13 PM,,
,My Skin Sites,Received,Taylor Hibbeler,HRSS - Conexus (Trinity),7/20/2022 3:13:58 PM,,,7/20/2022 3:13:58 PM,7/20/2022 3:17:33 PM,,
554402000694240,Sunseri Pizza,Approved,Josh Dempsey,Enhanced Payment Systems LLC,7/20/2022 3:10:20 PM,7/20/2022 4:33:30 PM,,7/20/2022 3:10:20 PM,7/20/2022 3:10:55 PM,,
8739298245300113,Last Stop Auto Repair LLC,Approved,Patrick McCawley,Patrick McCawley,7/20/2022 3:04:43 PM,7/20/2022 4:43:54 PM,,7/20/2022 3:04:44 PM,7/20/2022 3:19:17 PM,,
56310000007923,LH MOBILE DETAILING,Approved,Luis Flores,Luis Flores,7/20/2022 2:57:50 PM,7/20/2022 6:11:25 PM,,7/20/2022 2:57:50 PM,7/20/2022 3:28:32 PM,,
,The BLUE ACE Marketing Group,Draft,Martin O'Keefe,Ensure Payment Solutions,7/20/2022 2:56:35 PM,,,7/20/2022 2:56:35 PM,,,
