DBA,Date Added,XMID,Assigned To,Date Created,Date Submitted,Date Approved,Date Closed,Status,Portfolio,Date Assigned
Prime Power Services,12/18/2019 4:19:00 PM,554402000564716,Tom  Ellison,12/18/2019 4:19:00 PM,12/18/2019 4:19:17 PM,12/18/2019 4:47:49 PM,1/14/2020 5:31:02 PM,Closed,E-Innovations 2,
Prime Power Services,10/25/2017 3:11:22 PM,554402000421826,Tom  Ellison,10/25/2017 3:11:22 PM,10/25/2017 3:28:55 PM,10/27/2017 4:07:14 PM,,Approved,E-Innovations 2,
Prince Service and Manufacturing,8/23/2013 10:21:20 AM,518089240710491,Tom Ellison,8/23/2013 10:21:20 AM,8/29/2013 3:21:55 PM,8/30/2013 5:50:04 PM,,Approved,E-Innovations 2,
Pro Blend Chemical Co,5/7/2012 11:23:08 AM,518089240583625,Tom Ellison,5/7/2012 11:23:08 AM,5/8/2012 6:21:33 PM,5/9/2012 4:57:24 PM,11/13/2014 10:19:54 PM,Closed,E-Innovations 2,
"Process Components, Inc.",1/10/2019 10:36:52 AM,554402000500686,Tom  Ellison,1/10/2019 10:36:52 AM,1/11/2019 8:45:28 AM,2/4/2019 11:08:49 AM,,Approved,E-Innovations 2,
PTL Equipment,2/4/2015 3:15:14 PM,554402000136994,Tom Ellison,2/4/2015 3:15:14 PM,2/4/2015 3:39:55 PM,2/5/2015 4:42:49 PM,12/26/2018 11:23:12 AM,Closed,E-Innovations 2,
Restaurant and Kitchen Supply  1,4/14/2013 10:23:52 PM,518089240678045,Tom Ellison,4/14/2013 10:23:52 PM,4/15/2013 1:13:29 PM,4/16/2013 12:23:11 PM,5/28/2017 2:57:39 PM,Closed,E-Innovations 2,
Restaurant and Kitchen Supply  5,11/14/2013 5:52:25 PM,518089240729038,Tom Ellison,11/14/2013 5:52:25 PM,11/18/2013 10:37:24 AM,11/18/2013 4:42:25 PM,5/28/2017 2:58:47 PM,Closed,E-Innovations 2,
Restaurant and Kitchen Supply 2,4/14/2013 10:46:15 PM,518089240678052,Tom Ellison,4/14/2013 10:46:15 PM,4/15/2013 1:13:39 PM,4/16/2013 12:24:53 PM,5/26/2017 4:47:10 PM,Closed,E-Innovations 2,
Restaurant and Kitchen Supply 3,4/14/2013 10:53:59 PM,518089240678060,Tom Ellison,4/14/2013 10:53:59 PM,4/15/2013 1:13:55 PM,4/16/2013 12:25:59 PM,5/28/2017 2:58:21 PM,Closed,E-Innovations 2,
Restaurant and Kitchen Supply 4,4/14/2013 11:04:45 PM,518089240678078,Tom Ellison,4/14/2013 11:04:45 PM,4/15/2013 1:14:08 PM,4/16/2013 12:27:08 PM,5/26/2017 4:47:57 PM,Closed,E-Innovations 2,
Rutherford Equipment,7/23/2014 3:01:06 PM,518089240783878,Tom Ellison,7/23/2014 3:01:06 PM,7/24/2014 9:42:12 AM,7/28/2014 12:45:46 PM,,Approved,E-Innovations 2,
Sato America,3/17/2016 4:47:25 PM,554402000324376,Tom  Ellison,3/17/2016 4:47:25 PM,3/18/2016 11:34:04 AM,3/22/2016 9:40:21 AM,,Approved,E-Innovations 2,
Sato America 2,3/18/2016 11:37:40 AM,554402000324384,Tom  Ellison,3/18/2016 11:37:40 AM,3/18/2016 11:57:08 AM,3/22/2016 9:42:06 AM,10/28/2017 6:01:19 PM,Closed,E-Innovations 2,
Sato America 3,3/18/2016 11:58:04 AM,554402000324392,Tom  Ellison,3/18/2016 11:58:04 AM,3/18/2016 12:07:53 PM,3/22/2016 9:43:22 AM,2/27/2017 10:04:45 AM,Closed,E-Innovations 2,
Self Seal Container Corporation,7/1/2011 12:44:39 PM,518089240500777,Tom Ellison,7/1/2011 12:44:39 PM,7/1/2011 1:01:06 PM,7/1/2011 4:49:17 PM,1/22/2013 4:54:36 PM,Closed,E-Innovations 2,
Self Seal Container Corporation,1/3/2013 3:49:27 PM,518089240649533,Tom Ellison,1/3/2013 3:49:27 PM,1/3/2013 3:54:00 PM,1/4/2013 3:29:11 PM,10/27/2014 2:06:17 PM,Closed,E-Innovations 2,
Sentury Reagents,1/3/2012 11:41:44 AM,518089240545426,Tom Ellison,1/3/2012 11:41:44 AM,1/3/2012 12:07:37 PM,1/3/2012 5:41:31 PM,3/17/2013 8:39:38 PM,Closed,E-Innovations 2,
Shoemaker School Vineyards,5/20/2020 1:03:05 PM,554402000589085,Tom  Ellison,5/20/2020 1:03:05 PM,5/20/2020 1:18:22 PM,5/27/2020 2:54:08 PM,3/2/2021 7:32:13 AM,Closed,E-Innovations 2,
Shoemaker School Vineyards,2/19/2021 1:37:28 PM,554402000627612,Tom  Ellison,2/19/2021 1:37:28 PM,2/19/2021 1:47:14 PM,2/23/2021 12:00:34 PM,5/8/2021 1:07:51 PM,Closed,E-Innovations 2,
Smith Electric Motor Service,7/17/2019 6:23:49 PM,554402000536953,Tom  Ellison,7/17/2019 6:23:49 PM,7/17/2019 6:51:02 PM,7/25/2019 12:24:11 PM,9/27/2019 4:17:12 PM,Approved,E-Innovations 2,
Snyder Paper Corporation,3/13/2014 1:49:25 PM,518089240752923,Tom Ellison,3/13/2014 1:49:25 PM,3/13/2014 2:19:48 PM,3/13/2014 5:25:58 PM,,Approved,E-Innovations 2,
Southeastern Pipe and Drain Systems,4/5/2012 12:36:16 PM,518089240575142,Tom Ellison,4/5/2012 12:36:16 PM,4/5/2012 2:16:41 PM,4/12/2012 3:48:12 PM,8/21/2013 9:33:30 AM,Closed,E-Innovations 2,
